Definition - What does punch cards mean?;also known as Hollerith-/IBM cards, paper cards containing several punched or perforated holes by
hand or machine to represent data, allowed companies to store and access information by inserting the card into the computer;
Definition - What does Turing test mean?;a tester tries to find out who's the computer and who are the human beings, if he's wrong, the computer can keep up with human beings in intelligence;
Definition - What does Artificial Intelligence mean?;a science which makes it possible for machines to have some of the qualities that the human mind possesses, such as the ability to understand language, recognize pictures, solve problems and learn;
Definition - What does digital native mean?;aperson that grows up in the digital age, in contrast to acquiring familiarity as an adult;
Definition - What does digital immigrant mean?;a person becoming familiar with devices like smartphones or tablets as an adult in contrast to growing up with them;
Definition - What does Luddite mean?;coming from an protest organization in the early 19th century, the term Luddite describes a person which opposes or fears many forms of modern technology;
Definition - What does mobile phone/cellphone mean?;a device which is mainly used to call or communicate with other people not in your area, you can do it anywhere in contrast to a regular telephone;
Definition - What does tablet mean?;mobile device with a mobile operating system, a touchscreen display and a rechargable battery, can do what other computers do, just doesn't contain some input/output abilities, similar to smartphones, only larger and incompatible with cellular networks;
Definition - What does laptop/notebook mean?;a computer that isn't bound on a special place, works with a rechargable battery instead of power supply;
Definition - What does personal computer/pc mean?;multi-purpose computer, mostly used by normal people instead of technicians or experts, practical due to its size, capabilities and price;
Definition - What does tower mean?;personal computer designed to be used at a single location, on or close to a desk or table because of its size and power requirements;
Definition - What does mainframe mean?;computers mainly used by large organizations for critical applications, bulk data- and transactions processing, larger and with more power than other computers;
Definition - What does server mean?;computer program or device providing functions for other programs or devices, clients;
Definition - What does supercomputer mean?;computer with high level performance in comparison to usual computers, performance is measured in floting-point operations per seconds (flops);
Definition - What does cluster mean?;set of computers that work together in that way, they can be seen as a single system;
Definition - What does graphic card mean?;expansion card generating a feed of output images to a display device (e.g. monitor);
Definition - What does sound card mean?;internal expansion card providing input and output of audio signals to and from a computer controlled by computer programs;
Definition - What does motherboard/mainboard mean?;main printed circuit board, holds and allows communication between many crucial electronic system components;
Definition - What does system requirements mean?;hardware and software, that's required before launching a system, environment needed to run software;
Definition - What does computer architecture mean?;set of rules and methods describing the functionality, organization, and implementation of computer systems;
Definition - What does CPU mean?;electronic circuitry within a computer carrying out the instructions of a computer program by performing the basic arithmetic, logic, controlling and input/output operations specified by the instructions;
Definition - What does Moore's Law mean?;computing term stating that processing power for computers doubles every two years;
Definition - What does atomic limit mean?;is reached, when transistors can become as small as atomic particles, consequence is no more growth in the CPU market concerning speeds;
Definition - What does transistor mean?;semiconductor device used to amplify or switch electronic signals and electrical power;
Definition - What does input device mean?;piece of hardware equipment used to provide data and control signals to an information processing system (e.g. computer);
Definition - What does output device mean?;piece of hardware equipment converting information into human readable form;
Definition - What does keyboard mean?;input device, which contains an arrangement of buttons or keys, you can either control the pc with or insert text;
Definition - What does mouse mean?;hand-held pointing device, creates a symbol on the screen, you can control the computer with by making two dimensional moves and clicking on e.g. icons later;
Definition - What does monitor mean?;output device that displays information in picturial form, comprising display device, circuitry, casing and power supply;
Definition - What does touch screen mean?;input device, usually on the top of a display of an information processing system, used to give input or control the system through simple or multi-touch gestures;
Definition - What does printer mean?;peripheral device, which creates a persistent representation of graphics or text on paper, mostly human readable;
Definition - What does scanner mean?;device that optically scans images, printed or handwritten text or other objects converting it to a digital image;
Definition - What does joystick mean?;input device that consists of a stick pivoting on a base before reporting the angle/direction to the controlled device, often used for video games;
Definition - What does interface mean?;shared boundary across which two or more seperate components of computer system exchange information;
Definition - What does digital camera mean?;camera that captures photographs in digital memory;
Definition - What does dpi mean?;measure for dot density (spatial printing, video, image scanner), number of individual dots able to place in a line within the span of an inch (2.54 cm);
Definition - What does pixel mean?;physical point in a raster image, smallest controllable element of picture represented on a screen;
Definition - What does hard copy/soft copy mean?;hard copy: permanent copy of displayed or transmitted data in form of a physical object or any media, directly usable by a person soft copy: file, which can be viewed on a screen without printing;
Definition - What does browser mean?;software application to access information on the world wide web, web pages, videos and images are called by an own identifying URL via the web server;
Definition - What does hard drive mean?;electro-mechanical data storage device, using magnetic storage to store and retrieve digital information using at least one fast rotating disc coated with magnetic material;
Definition - What does USB mean?;industry standard, establishes specifications for cables, connectors and protocols for connection, communication and power supply between computers, peripheral devices or other computers;
Definition - What does floppy disc mean?;type of disc storage composed of a disc of thin and flexible magnetic storage medium, sealed in a rectangular plastic enclosure lined with fabric removing dust particles;
Definition - What does CD-R mean?;digital optical disc storage format, CD-R disc is a compact disc, that can be written once and read as often as wanted;
Definition - What does back-up mean?;archiving data that is already in secondary storage, used to restore lost data later;
Definition - What does backwards compatible mean?;a system is backwards compatible if it's able to successfully use interfaces or data from earlier versions of the system or with other systems;
Definition - What does flash memory mean?;electronic, non-volatile computer storage medium, can be electrically erased or reprogrammed;
Definition - What does CD Burner mean?;optical drive with which CDs, DVDs or Blu-ray discs can be read or recorded through respective software;
Definition - What does operating system mean?;system software that manages computer hardware and software resources and provides common services for computer programs;
Definition - What does android mean?;mobile operating system developed by Google, based on modified linux kernel, mainly designed for mobile touchscreen devices (tablets, smartphones);
