Definition - What does application mean?;In computing an application is a piece of software designed to carry out a particular task;
Definition - What does software mean?;programs and other operating information used by a computer, also the instructions that control, what a computer does;
Definition - What does icon mean?;symbol or picture, that represents a certain function on the computer, click on it to activate it;
Definition - What does firmware mean?;the (semi permanent) software, that is already installed on the device before using it, needed to do the basic work of the device like booting, shutdown, etc.;
Definition - What does shareware mean?;software which is offered and distributed to all people for free of charge, people are encouraged to share copies, sometimes the free version is time-limited;
Definition - What does liteware mean?;type of software utility with more reduced functionality than the full and paid version and is freely distributed to end users, allows software developers and independent software vendors to try the lite version for free before purchasing the actual software;
Definition - What does freeware mean?;software completely free of charging, you can download and use it for no cost, no need to pay anytime, common class of small application is mostly available;
Definition - What does crapware mean?;additional unwanted software that was installed on the device before, may include major security vulnerabilities;
Definition - What does open-source mean?;software for which the original source code is made freely available and maybe redistributed and modified;
Definition - What does public domain mean?;the state of belonging or being available to the public as a whole, especially through not being subject to coyright or other legal restrictions;
Definition - What does copyright mean?;the protection law for the software owners, they have the rights to decide, who can use the work of them, people have to pay licenses to them;
Definition - What does programming language mean?;set of instructions, can be translated to machine language instructions by a compiler, to be executed by hardware later;
Definition - What does analog (signals) mean?;analog signals are signals that show a continous measurement, they're translated to electric impulses to be transmitted later;
Definition - What does digital (signals) mean?;digital signals are signals that show an approximation of the signal with the most possible accuracy, they're translated to binary format to be transmitted later;
Definition - What does sampling/ sampling rate mean?;the rate at which samples of an analog signal are taken in order to be converted into digital form, typically expressed in samples per seconds or hertz/Hz;
Definition - What does internet mean?;large system of connected computers around the world that allows people to share information and communication with each other;
Definition - What does WWW mean?;information system on the internet, allows documents to be connected to other documents by hypertext links, enabling the user to search for information by moving from one docoment to another one;
Definition - What does blog mean?;regularly updated journal or diary on the internet published by one or many people mostly written in informal, conversational style;
Definition - What does flat rate mean?;contract between provider and customer, provider offers internet to customer for a fixed fee;
Definition - What does HTML mean?;a standardised system for tagging text files to achieve font color graphic and hypertext effects on www pages;
Definition - What does modem mean?;combined device for modulation and demodulation between digital data of the computer and the analog signal of the telephone, allows the computer to gain access to the internet;
Definition - What does website mean?;set of related webpages located on a single domain on the internet, about one or many topics;
Definition - What does e-commerce mean?;purchasing or selling goods, services via electronic channels, for example the internet;
Definition - What does brick-and-mortar mean?;traditional street side store where business offers products/services to customers face to face (e.g. bank, grocery stores);
Definition - What does cybercrime mean?;crime in which a computer is the object of the crime or is used as a tool to commit an offense, computer technology/internet are used to access personal information, business secrets, other malicious purposes;
Definition - What does identity theft mean?;people hacking accounts of other people without their knowledge in order to gain personal information or steal money from bank accounts;
Definition - What does phishing mean?;the fraudulent practice of sending emails purporting to be from reputable companies in order to urge individuals to reveal personal information such as passworts or credit card numbers;
Definition - What does hacker mean?;somebody using a computer trying to gain access to somebody else's account illegally in order to steal information;
Definition - What does PIN mean?;a secret number which is used to login to a personal account;
Definition - What does TAN mean?;a number sent to you to confirm your identity for a transaction, can only be used once;
Definition - What does scammer mean?;a person performing any fraudulent business or scheme that takes money or other goods from an unsuspecting person;
Definition - What does computer virus mean?;a software that was designed for gaining access to another computer in order to damage it, is able to replicate itself;
Definition - What does Trojan horse mean?;software that was deliberately designed to destroy a system or steal information;
Definition - What does bragging rights mean?;honor for the person who creates the most malicious computer virus;
Definition - What does spam mean?;unwanted content sent to you as an email or shown to you in other ways, mostly with advertisement;
Definition - What does junk mail mean?;a spamming mail, you haven't asked for or don't want, mostly advertising;
Definition - What does e-mail mean?;an electronic letter sent from one computer to another one via internet;
Definition - What does attachment mean?;additional content, mostly files, you add to an e-mail before sending it away;
Definition - What does snail mail mean?;ordinary postal system, sending letters or other packages away in contrast to e-mail;
Definition - What does CC mean?;a way to send e-mails to more people than them who are actually meant to receive it just for information purposes, not to necessarily receive an answer from;
Definition - What does emoticon mean?;a little symbol, which was just a facial expression to convey an emotion in the beginning, now it can be other symbols too;
